election_date,election_year,democratic_vote_share_adj,republican_vote_share_adj,state,state_name,region,electoral_votes,PVI,state_unemployment,state_house_price,state_med_income,state_personal_income,nat_gdp,nat_nonfarm_payroll,nat_ind_production,nat_personal_exp,nat_personal_inc,nat_price_index,stock_market,net_approval,incumbent
11/3/1992,1992,0.43425738,0.56574262,AK,Alaska,West,3,-0.173358418,8.4,0.026946792,41800,14003.812,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.48698096,0.51301904,AZ,Arizona,West,11,-0.142365104,7.3,0.051956765,29360,69608.941,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.599922671,0.400077329,AR,Arkansas,South,6,-0.059641675,6.7,0.086690505,23880,39161.726,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.585167288,0.414832712,CA,California,West,55,0.036138574,9.8,0.187583338,34900,696670.363,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.528020655,0.471979345,CO,Colorado,West,9,-0.026765308,6.1,0.188260094,32480,73794.417,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.541251167,0.458748833,CT,Connecticut,Northeast,7,0.010657806,7.6,-0.124797955,40840,93615.183,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.551979927,0.448020073,DE,Delaware,South,3,-0.039015301,5.1,0.127870285,35680,15753.972,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.902970696,0.097029304,DC,District of Columbia,South,3,0.813795865,8.8,0.141680299,30250,17279.14,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.488152166,0.511847834,FL,Florida,South,29,-0.141072234,7.8,0.096252304,27350,278700.32,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.503421285,0.496578715,GA,Georgia,South,16,-0.099672439,6.8,0.071460473,28800,130040.771,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.567199777,0.432800223,HI,Hawaii,West,4,0.147946425,4.9,0.592114003,42110,27909.66,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.40338517,0.59661483,ID,Idaho,West,4,-0.211324292,6.3,0.312399356,27700,18317.981,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.585882182,0.414117818,IL,Illinois,Midwest,20,0.056265485,7.3,0.204918033,31550,263702.045,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.461651055,0.538348945,IN,Indiana,Midwest,11,-0.107886106,6.3,0.16807931,28530,108028.55,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.537325291,0.462674709,IA,Iowa,Midwest,6,0.162978997,4.3,0.212890625,28740,53081.934,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
11/3/1992,1992,0.464589444,0.535410556,KS,Kansas,Midwest,6,-0.081689004,4.7,0.054917202,30350,49867.423,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
